,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
1041,128m,108k,190,510ms,1,0.7999999999999999,54m,85k,76m,98k,12g,9g,360s,5s,4,false,0.7999999999999999,false,false,0.6
1042,27m,112k,430,630ms,1,0.5,102m,120k,122m,24k,8g,13g,240s,5s,5,true,0.6,true,false,0.7
1043,117m,33k,660,740ms,5,0.8999999999999999,14m,111k,118m,114k,11g,9g,280s,1s,8,false,0.8999999999999999,false,true,0.7999999999999999
1044,80m,53k,450,790ms,3,0.9999999999999999,8m,127k,38m,76k,9g,7g,160s,4s,3,true,0.6,false,true,0.5
1045,87m,28k,280,550ms,1,0.6,14m,116k,120m,120k,12g,16g,60s,8s,6,false,0.8999999999999999,true,false,0.7999999999999999
1046,34m,128k,620,840ms,5,0.6,108m,84k,30m,112k,10g,12g,80s,7s,7,true,0.5,false,false,0.8999999999999999
1047,90m,119k,290,190ms,5,0.6,84m,44k,86m,68k,11g,6g,180s,8s,4,false,0.9999999999999999,true,false,0.9999999999999999
1048,85m,67k,590,580ms,4,0.5,24m,91k,64m,100k,12g,13g,260s,5s,6,true,0.8999999999999999,true,true,0.7999999999999999
1049,26m,34k,660,780ms,3,0.7999999999999999,64m,83k,50m,46k,7g,6g,500s,3s,7,true,0.7999999999999999,false,false,0.6
1050,127m,54k,860,570ms,3,0.7999999999999999,82m,63k,116m,106k,9g,9g,40s,4s,4,false,0.9999999999999999,false,true,0.9999999999999999
1051,106m,100k,160,300ms,1,0.9999999999999999,48m,90k,24m,48k,10g,7g,20s,3s,7,true,0.7999999999999999,false,true,0.7999999999999999
1052,89m,76k,450,820ms,4,0.8999999999999999,36m,35k,98m,66k,12g,16g,140s,5s,1,true,0.7,true,true,0.6
1053,75m,96k,420,840ms,4,0.7,28m,50k,74m,42k,6g,16g,180s,10s,6,false,0.9999999999999999,false,true,0.7999999999999999
1054,49m,61k,740,860ms,3,0.7,78m,50k,26m,120k,11g,14g,280s,9s,7,false,0.9999999999999999,true,true,0.8999999999999999
1055,124m,107k,700,910ms,1,0.7999999999999999,18m,96k,114m,54k,7g,8g,400s,9s,7,true,0.7999999999999999,false,false,0.9999999999999999
1056,38m,89k,480,300ms,5,0.7999999999999999,42m,37k,48m,82k,7g,16g,280s,7s,2,false,0.8999999999999999,true,false,0.6
1057,93m,94k,620,250ms,4,0.7,98m,70k,66m,78k,6g,10g,40s,10s,5,true,0.9999999999999999,false,true,0.7
1058,121m,108k,360,350ms,3,0.5,96m,93k,104m,30k,9g,7g,460s,9s,3,true,0.8999999999999999,true,true,0.7999999999999999
1059,85m,102k,220,190ms,5,0.6,88m,106k,32m,80k,9g,13g,360s,6s,8,false,0.7,true,true,0.5
1060,85m,96k,220,430ms,4,0.5,64m,71k,70m,122k,8g,12g,40s,8s,8,true,0.7,true,false,0.8999999999999999
1061,82m,111k,590,700ms,1,0.8999999999999999,82m,125k,30m,124k,7g,8g,400s,7s,3,false,0.9999999999999999,false,false,0.9999999999999999
1062,34m,64k,500,570ms,3,0.6,96m,24k,60m,94k,9g,10g,440s,3s,3,true,0.7,true,false,0.5
1063,39m,77k,830,890ms,2,0.5,64m,96k,126m,96k,11g,10g,440s,8s,4,false,0.9999999999999999,true,true,0.9999999999999999
1064,53m,122k,240,360ms,2,0.6,22m,110k,108m,86k,7g,10g,460s,9s,2,true,0.7999999999999999,false,false,0.5
1065,35m,120k,860,170ms,1,0.7,70m,72k,66m,90k,9g,6g,280s,8s,1,false,0.7999999999999999,true,true,0.7
1066,104m,34k,1000,490ms,5,0.8999999999999999,108m,55k,94m,58k,6g,13g,180s,8s,4,true,0.8999999999999999,true,true,0.7
1067,89m,97k,430,510ms,1,0.6,20m,127k,30m,40k,7g,12g,380s,1s,2,true,0.7,true,false,0.7
1068,70m,111k,240,510ms,3,0.9999999999999999,42m,59k,80m,118k,6g,10g,280s,9s,1,true,0.6,false,false,0.9999999999999999
1069,101m,110k,340,990ms,2,0.5,66m,107k,112m,38k,11g,12g,400s,4s,4,false,0.5,true,true,0.5
1070,125m,64k,400,940ms,5,0.9999999999999999,50m,89k,100m,102k,8g,11g,120s,3s,5,false,0.6,true,true,0.5
1071,24m,113k,150,390ms,1,0.9999999999999999,40m,82k,128m,44k,10g,16g,100s,10s,6,true,0.9999999999999999,true,false,0.8999999999999999
1072,44m,39k,300,120ms,2,0.7,68m,32k,64m,36k,11g,15g,500s,3s,4,false,0.7,true,false,0.6
1073,68m,110k,920,270ms,4,0.6,124m,120k,70m,46k,6g,13g,500s,7s,4,true,0.6,false,false,0.5
1074,54m,33k,550,770ms,5,0.5,30m,121k,128m,102k,11g,8g,420s,6s,2,true,0.6,false,false,0.5
1075,74m,107k,130,120ms,3,0.9999999999999999,38m,50k,106m,120k,8g,16g,20s,5s,1,true,0.7999999999999999,true,false,0.7
1076,26m,91k,100,860ms,3,0.6,2m,121k,78m,46k,11g,8g,260s,7s,3,true,0.8999999999999999,true,true,0.8999999999999999
1077,81m,93k,970,360ms,5,0.5,18m,99k,120m,78k,7g,12g,180s,7s,5,true,0.8999999999999999,false,true,0.7
1078,123m,53k,690,410ms,1,0.9999999999999999,12m,109k,80m,104k,8g,8g,280s,9s,7,false,0.6,false,false,0.7
1079,29m,40k,170,400ms,1,0.5,48m,52k,110m,46k,6g,10g,420s,8s,7,true,0.5,false,false,0.5
1080,81m,109k,800,700ms,1,0.7999999999999999,18m,43k,108m,44k,9g,11g,360s,3s,2,false,0.8999999999999999,true,true,0.9999999999999999
1081,38m,33k,870,430ms,3,0.7,6m,40k,72m,116k,11g,7g,80s,5s,2,true,0.7,false,false,0.5
1082,51m,71k,640,160ms,4,0.5,80m,32k,76m,36k,10g,13g,300s,7s,2,false,0.7999999999999999,true,true,0.8999999999999999
1083,99m,79k,220,880ms,3,0.8999999999999999,52m,98k,34m,74k,11g,8g,100s,1s,8,false,0.8999999999999999,true,true,0.9999999999999999
1084,90m,48k,660,620ms,5,0.5,34m,38k,86m,38k,12g,7g,220s,5s,5,true,0.7999999999999999,true,true,0.9999999999999999
1085,38m,89k,940,350ms,5,0.8999999999999999,34m,70k,40m,112k,8g,8g,40s,6s,8,false,0.5,false,true,0.5
1086,58m,121k,660,550ms,3,0.7999999999999999,24m,121k,74m,50k,8g,8g,80s,5s,4,false,0.7,true,true,0.9999999999999999
1087,125m,29k,180,860ms,1,0.6,70m,41k,104m,78k,11g,8g,80s,10s,1,true,0.7999999999999999,true,true,0.8999999999999999
1088,107m,110k,670,600ms,1,0.8999999999999999,40m,35k,106m,88k,7g,8g,420s,6s,2,false,0.9999999999999999,false,true,0.8999999999999999
1089,54m,41k,570,380ms,2,0.5,114m,83k,58m,96k,6g,15g,160s,9s,5,true,0.8999999999999999,true,true,0.7999999999999999
1090,34m,54k,800,140ms,3,0.6,40m,32k,72m,58k,8g,10g,180s,6s,6,false,0.5,true,false,0.8999999999999999
1091,109m,103k,480,670ms,3,0.9999999999999999,104m,43k,96m,122k,9g,10g,80s,3s,5,false,0.9999999999999999,false,false,0.7999999999999999
1092,50m,120k,930,780ms,2,0.7,24m,115k,38m,24k,11g,7g,280s,8s,6,true,0.9999999999999999,true,true,0.8999999999999999
1093,32m,89k,500,270ms,4,0.7,98m,93k,26m,60k,10g,10g,260s,10s,4,true,0.9999999999999999,true,false,0.5
1094,124m,110k,920,340ms,4,0.8999999999999999,62m,37k,26m,104k,8g,16g,440s,5s,7,false,0.7999999999999999,false,false,0.9999999999999999
1095,98m,30k,900,840ms,2,0.7999999999999999,116m,50k,64m,124k,8g,8g,120s,3s,1,false,0.8999999999999999,true,false,0.8999999999999999
1096,111m,46k,300,120ms,2,0.8999999999999999,56m,107k,118m,76k,10g,15g,460s,5s,4,true,0.7,true,true,0.7999999999999999
1097,107m,76k,930,100ms,5,0.9999999999999999,88m,96k,28m,100k,12g,7g,240s,8s,1,false,0.8999999999999999,true,true,0.8999999999999999
1098,66m,95k,870,150ms,4,0.9999999999999999,38m,68k,92m,76k,7g,11g,280s,10s,4,true,0.9999999999999999,true,true,0.5
1099,54m,87k,870,400ms,3,0.7999999999999999,124m,97k,120m,62k,8g,8g,280s,2s,5,false,0.7999999999999999,true,true,0.9999999999999999
1100,64m,38k,570,1000ms,1,0.8999999999999999,72m,99k,70m,122k,12g,15g,140s,4s,8,false,0.7,false,false,0.5
1101,114m,94k,840,960ms,2,0.7,124m,125k,36m,86k,7g,13g,360s,4s,1,true,0.6,false,false,0.9999999999999999
1102,40m,28k,920,840ms,4,0.6,82m,70k,28m,38k,10g,12g,260s,4s,7,false,0.7,false,true,0.7
1103,31m,48k,820,1000ms,5,0.6,34m,121k,88m,110k,12g,15g,280s,1s,5,true,0.5,true,true,0.5
1104,72m,52k,910,240ms,1,0.5,58m,79k,36m,90k,6g,10g,280s,5s,6,true,0.8999999999999999,true,false,0.7999999999999999
1105,64m,85k,430,760ms,4,0.5,34m,43k,62m,128k,7g,14g,500s,8s,1,false,0.7999999999999999,false,true,0.7
1106,81m,55k,820,520ms,1,0.7,74m,70k,48m,66k,8g,11g,100s,1s,7,false,0.9999999999999999,true,true,0.9999999999999999
1107,100m,88k,760,370ms,2,0.9999999999999999,54m,73k,28m,66k,11g,10g,180s,9s,8,false,0.9999999999999999,true,false,0.9999999999999999
1108,76m,54k,330,470ms,2,0.7999999999999999,124m,86k,112m,42k,11g,14g,80s,2s,6,true,0.5,true,false,0.8999999999999999
1109,127m,117k,530,800ms,2,0.8999999999999999,62m,91k,52m,48k,11g,6g,220s,8s,7,false,0.7999999999999999,false,true,0.8999999999999999
1110,31m,63k,200,980ms,4,0.7,8m,57k,104m,28k,11g,10g,200s,3s,7,false,0.5,true,false,0.7999999999999999
1111,44m,126k,330,880ms,3,0.6,112m,33k,114m,52k,8g,10g,260s,2s,4,false,0.8999999999999999,true,true,0.7
1112,127m,118k,160,720ms,4,0.7999999999999999,74m,108k,80m,70k,11g,7g,280s,6s,5,false,0.9999999999999999,true,false,0.7
1113,122m,115k,760,320ms,4,0.7,4m,113k,68m,86k,11g,14g,320s,9s,7,false,0.5,false,false,0.5
1114,49m,43k,710,780ms,5,0.7999999999999999,10m,47k,116m,76k,12g,10g,480s,1s,8,false,0.9999999999999999,false,false,0.6
1115,102m,107k,400,210ms,2,0.7,112m,78k,102m,58k,11g,9g,200s,6s,5,false,0.5,true,true,0.5
1116,57m,57k,480,750ms,1,0.8999999999999999,50m,64k,38m,124k,10g,16g,180s,10s,5,true,0.9999999999999999,false,true,0.7
1117,77m,83k,830,360ms,4,0.9999999999999999,110m,102k,116m,114k,11g,8g,100s,5s,6,true,0.7999999999999999,false,true,0.9999999999999999
1118,52m,76k,800,940ms,2,0.6,90m,76k,36m,24k,11g,11g,120s,1s,8,true,0.9999999999999999,true,false,0.7999999999999999
1119,56m,127k,420,560ms,5,0.8999999999999999,32m,98k,28m,38k,9g,7g,240s,1s,7,false,0.5,false,false,0.6
1120,36m,115k,170,350ms,3,0.6,72m,36k,108m,126k,7g,10g,40s,10s,1,true,0.6,false,false,0.6
1121,43m,100k,820,490ms,4,0.9999999999999999,52m,26k,88m,74k,9g,8g,120s,6s,2,true,0.6,false,true,0.5
1122,32m,77k,650,370ms,5,0.9999999999999999,126m,52k,106m,52k,10g,6g,380s,4s,3,true,0.5,true,true,0.5
1123,116m,70k,920,610ms,1,0.7999999999999999,58m,73k,84m,76k,6g,7g,180s,7s,2,false,0.6,true,false,0.7
1124,37m,94k,130,250ms,3,0.7,82m,99k,108m,128k,12g,6g,220s,3s,7,false,0.8999999999999999,false,true,0.5
1125,102m,58k,880,470ms,5,0.6,48m,47k,122m,90k,10g,11g,440s,1s,7,true,0.6,false,true,0.6
1126,52m,116k,410,980ms,2,0.9999999999999999,118m,63k,64m,56k,11g,7g,460s,2s,5,true,0.7999999999999999,true,false,0.8999999999999999
1127,36m,37k,120,990ms,4,0.9999999999999999,54m,57k,64m,124k,7g,14g,160s,2s,4,true,0.8999999999999999,false,false,0.9999999999999999
1128,52m,127k,110,450ms,1,0.8999999999999999,20m,29k,52m,118k,6g,13g,80s,5s,8,false,0.8999999999999999,true,true,0.5
1129,98m,27k,160,840ms,2,0.7,12m,119k,122m,98k,7g,14g,500s,8s,1,false,0.6,true,false,0.7
1130,77m,56k,260,360ms,4,0.5,18m,78k,36m,70k,11g,8g,120s,2s,6,false,0.9999999999999999,false,false,0.5
1131,35m,32k,540,890ms,4,0.7999999999999999,110m,101k,68m,42k,11g,11g,480s,6s,6,true,0.5,false,false,0.9999999999999999
1132,97m,56k,140,900ms,3,0.7,44m,58k,38m,108k,11g,9g,260s,3s,2,false,0.7,false,true,0.6
1133,86m,27k,310,890ms,4,0.8999999999999999,122m,110k,100m,76k,9g,16g,220s,1s,8,false,0.7999999999999999,true,false,0.7999999999999999
1134,42m,112k,550,270ms,1,0.8999999999999999,48m,109k,40m,122k,6g,16g,40s,9s,7,false,0.7999999999999999,false,false,0.5
1135,123m,48k,510,550ms,4,0.7,84m,123k,114m,94k,7g,6g,480s,4s,8,false,0.7999999999999999,true,true,0.8999999999999999
1136,81m,60k,220,240ms,2,0.6,74m,74k,76m,24k,10g,12g,120s,9s,2,false,0.9999999999999999,true,true,0.7
1137,93m,85k,800,940ms,5,0.8999999999999999,74m,43k,90m,26k,10g,8g,260s,10s,1,true,0.7,true,false,0.7
1138,72m,69k,200,860ms,4,0.7999999999999999,30m,39k,70m,96k,10g,6g,300s,8s,8,false,0.7,true,true,0.7999999999999999
1139,75m,49k,580,290ms,1,0.5,78m,83k,68m,34k,6g,10g,160s,2s,8,true,0.7,true,false,0.9999999999999999
1140,67m,75k,100,120ms,4,0.6,102m,70k,92m,64k,11g,6g,340s,3s,4,false,0.7,false,true,0.6
1141,26m,125k,180,670ms,5,0.5,20m,25k,56m,50k,11g,10g,240s,2s,2,true,0.5,false,true,0.6
1142,100m,118k,930,330ms,4,0.7999999999999999,40m,76k,124m,118k,9g,15g,20s,2s,6,true,0.6,true,false,0.6
1143,60m,52k,560,910ms,5,0.8999999999999999,10m,115k,38m,120k,11g,7g,340s,3s,8,false,0.7,true,false,0.9999999999999999
1144,72m,72k,900,370ms,5,0.7999999999999999,88m,83k,88m,108k,7g,14g,280s,5s,4,false,0.7,true,true,0.6
1145,48m,52k,100,140ms,5,0.9999999999999999,36m,95k,72m,126k,7g,10g,480s,10s,5,true,0.7,false,false,0.5
1146,90m,58k,400,550ms,1,0.7,38m,66k,30m,76k,8g,12g,320s,2s,7,true,0.5,false,false,0.7
1147,113m,63k,750,980ms,2,0.8999999999999999,38m,84k,96m,74k,12g,9g,60s,1s,6,true,0.5,true,true,0.9999999999999999
1148,57m,51k,930,740ms,4,0.8999999999999999,22m,63k,66m,46k,8g,8g,100s,2s,4,false,0.5,false,true,0.8999999999999999
1149,119m,45k,240,430ms,3,0.6,24m,103k,24m,42k,12g,14g,500s,2s,6,true,0.9999999999999999,true,false,0.7999999999999999
1150,65m,28k,840,120ms,5,0.7,18m,80k,118m,86k,6g,8g,180s,3s,1,true,0.7999999999999999,true,true,0.6
1151,74m,109k,640,610ms,5,0.6,36m,45k,70m,60k,7g,7g,60s,7s,4,true,0.7999999999999999,false,false,0.7999999999999999
1152,62m,103k,530,100ms,1,0.7,96m,43k,110m,96k,6g,12g,280s,6s,3,true,0.9999999999999999,true,true,0.6
1153,125m,24k,500,460ms,1,0.7999999999999999,12m,102k,34m,44k,8g,10g,20s,1s,8,false,0.5,true,false,0.7999999999999999
1154,110m,57k,760,190ms,1,0.7999999999999999,26m,80k,50m,78k,10g,16g,200s,7s,5,true,0.7999999999999999,true,true,0.7
1155,63m,44k,990,810ms,3,0.5,80m,122k,40m,90k,9g,15g,140s,2s,6,false,0.8999999999999999,true,true,0.7
1156,35m,104k,900,880ms,2,0.5,120m,113k,26m,108k,8g,7g,20s,10s,5,true,0.6,false,true,0.5
1157,89m,87k,840,100ms,3,0.9999999999999999,24m,66k,74m,122k,10g,14g,460s,10s,7,false,0.7,true,true,0.6
1158,36m,27k,350,480ms,3,0.6,70m,89k,90m,114k,6g,14g,220s,2s,1,true,0.9999999999999999,true,false,0.8999999999999999
1159,95m,98k,930,930ms,3,0.6,120m,47k,42m,106k,6g,7g,240s,6s,1,true,0.5,false,false,0.8999999999999999
1160,119m,84k,270,420ms,3,0.8999999999999999,18m,92k,78m,100k,12g,15g,220s,5s,5,true,0.6,false,true,0.7
1161,48m,47k,980,150ms,1,0.8999999999999999,80m,32k,58m,34k,10g,9g,160s,5s,5,true,0.9999999999999999,false,true,0.7999999999999999
1162,73m,74k,270,700ms,5,0.7,100m,44k,108m,66k,8g,15g,200s,10s,2,false,0.6,false,true,0.8999999999999999
1163,43m,123k,100,310ms,1,0.6,120m,60k,34m,78k,7g,14g,40s,7s,4,false,0.7,true,true,0.6
1164,127m,76k,900,240ms,2,0.5,100m,38k,48m,72k,10g,14g,480s,1s,3,false,0.5,false,true,0.7999999999999999
1165,61m,56k,430,900ms,5,0.5,40m,119k,74m,108k,6g,15g,360s,7s,3,false,0.6,false,false,0.6
1166,126m,34k,840,600ms,3,0.8999999999999999,120m,118k,102m,26k,10g,9g,20s,9s,4,true,0.9999999999999999,false,false,0.6
1167,101m,43k,770,410ms,5,0.6,22m,65k,108m,40k,12g,14g,440s,10s,5,false,0.7999999999999999,false,false,0.6
1168,69m,114k,500,600ms,3,0.7999999999999999,108m,113k,34m,106k,12g,10g,120s,8s,5,true,0.6,false,false,0.7
1169,93m,38k,940,500ms,4,0.9999999999999999,98m,82k,36m,82k,9g,9g,260s,6s,2,false,0.9999999999999999,false,false,0.7
1170,95m,112k,130,330ms,2,0.5,66m,74k,42m,106k,8g,12g,160s,3s,3,true,0.7,true,false,0.6
1171,80m,89k,190,990ms,2,0.8999999999999999,48m,50k,64m,102k,9g,12g,440s,6s,4,true,0.5,true,false,0.7999999999999999
1172,63m,119k,430,280ms,4,0.7,48m,105k,82m,64k,7g,16g,240s,6s,8,true,0.5,true,true,0.9999999999999999
1173,44m,101k,360,600ms,5,0.7999999999999999,118m,90k,100m,40k,12g,14g,300s,5s,1,true,0.7,false,false,0.7
1174,37m,94k,200,500ms,3,0.9999999999999999,18m,127k,38m,66k,6g,11g,480s,3s,7,true,0.7,true,false,0.9999999999999999
1175,31m,48k,730,470ms,5,0.7,52m,42k,94m,102k,11g,8g,100s,2s,3,true,0.7,false,false,0.7
1176,109m,36k,600,690ms,4,0.7999999999999999,88m,76k,60m,98k,8g,16g,480s,2s,4,true,0.8999999999999999,true,false,0.7999999999999999
1177,113m,98k,990,1000ms,5,0.7,2m,93k,66m,32k,9g,13g,480s,6s,4,true,0.5,false,false,0.7999999999999999
1178,126m,90k,720,690ms,2,0.8999999999999999,32m,54k,50m,36k,10g,6g,240s,2s,6,false,0.7999999999999999,false,false,0.7999999999999999
1179,30m,41k,510,380ms,4,0.7999999999999999,12m,54k,50m,62k,8g,9g,340s,4s,3,false,0.7999999999999999,true,false,0.5
1180,99m,102k,330,970ms,4,0.8999999999999999,100m,53k,98m,60k,7g,14g,80s,7s,2,true,0.8999999999999999,false,true,0.9999999999999999
1181,116m,94k,190,280ms,2,0.9999999999999999,110m,104k,42m,68k,9g,6g,380s,4s,1,false,0.7999999999999999,true,true,0.7
1182,91m,128k,240,290ms,4,0.7,76m,37k,102m,80k,12g,12g,160s,4s,6,false,0.6,true,false,0.7
1183,80m,56k,510,620ms,3,0.7999999999999999,44m,33k,74m,70k,9g,14g,20s,2s,7,false,0.9999999999999999,true,true,0.5
1184,47m,104k,760,180ms,2,0.8999999999999999,50m,97k,60m,86k,9g,12g,100s,4s,6,true,0.8999999999999999,true,false,0.8999999999999999
1185,86m,105k,850,120ms,3,0.7999999999999999,54m,121k,108m,108k,11g,6g,200s,6s,4,true,0.5,true,false,0.7
1186,118m,72k,420,370ms,3,0.8999999999999999,44m,71k,116m,60k,12g,7g,140s,4s,3,true,0.5,true,true,0.9999999999999999
1187,30m,107k,800,940ms,4,0.8999999999999999,122m,123k,82m,76k,10g,8g,320s,1s,8,true,0.7,false,false,0.7
1188,112m,105k,300,640ms,1,0.6,46m,35k,120m,68k,7g,16g,20s,8s,5,true,0.5,false,false,0.6
1189,108m,116k,550,720ms,5,0.5,16m,91k,128m,58k,7g,16g,140s,7s,7,true,0.8999999999999999,false,true,0.6
1190,49m,118k,710,500ms,3,0.6,110m,29k,104m,70k,8g,10g,160s,10s,7,true,0.7999999999999999,true,true,0.8999999999999999
1191,55m,91k,850,880ms,2,0.7999999999999999,60m,101k,46m,102k,6g,16g,240s,10s,2,false,0.9999999999999999,true,true,0.8999999999999999
1192,101m,105k,360,560ms,1,0.7999999999999999,126m,81k,68m,54k,9g,12g,120s,10s,4,false,0.6,true,false,0.6
1193,78m,92k,470,540ms,4,0.6,112m,101k,42m,54k,6g,16g,480s,7s,8,true,0.5,false,true,0.8999999999999999
1194,73m,40k,570,130ms,4,0.9999999999999999,24m,27k,62m,56k,12g,9g,60s,6s,8,false,0.7999999999999999,false,false,0.5
1195,65m,55k,290,840ms,2,0.7999999999999999,56m,36k,34m,38k,11g,11g,60s,7s,6,true,0.5,false,false,0.7
1196,106m,71k,470,870ms,5,0.9999999999999999,16m,53k,78m,124k,11g,15g,160s,1s,5,false,0.6,false,false,0.8999999999999999
1197,106m,40k,380,330ms,2,0.5,120m,95k,122m,40k,11g,14g,40s,1s,5,false,0.9999999999999999,false,true,0.7
1198,64m,34k,670,400ms,4,0.5,82m,55k,32m,106k,10g,7g,500s,6s,3,false,0.9999999999999999,true,false,0.7999999999999999
1199,52m,99k,800,110ms,1,0.7999999999999999,34m,125k,86m,36k,6g,12g,160s,3s,6,false,0.7999999999999999,true,false,0.5
1200,42m,31k,320,310ms,3,0.9999999999999999,112m,30k,24m,60k,7g,15g,220s,4s,5,true,0.6,false,false,0.8999999999999999
1201,88m,97k,1000,560ms,3,0.9999999999999999,74m,101k,44m,124k,8g,6g,380s,6s,7,false,0.9999999999999999,false,true,0.9999999999999999
1202,107m,26k,200,150ms,1,0.7999999999999999,56m,118k,126m,108k,10g,10g,40s,4s,5,false,0.5,true,false,0.7999999999999999
1203,41m,85k,710,450ms,3,0.7999999999999999,38m,24k,62m,66k,12g,11g,260s,9s,6,true,0.6,true,false,0.7999999999999999
1204,88m,44k,110,380ms,1,0.6,26m,46k,54m,54k,11g,12g,140s,4s,6,false,0.8999999999999999,true,false,0.7999999999999999
1205,28m,114k,990,100ms,2,0.8999999999999999,104m,124k,86m,24k,6g,16g,500s,10s,3,false,0.5,false,true,0.8999999999999999
1206,119m,44k,300,280ms,4,0.7999999999999999,2m,100k,88m,42k,8g,12g,180s,7s,7,true,0.8999999999999999,false,true,0.5
1207,123m,119k,320,920ms,2,0.6,46m,83k,48m,76k,8g,14g,240s,9s,7,false,0.5,false,true,0.9999999999999999
1208,38m,126k,590,570ms,5,0.6,26m,103k,46m,122k,12g,12g,200s,5s,7,false,0.5,true,true,0.7
1209,104m,128k,710,750ms,3,0.5,26m,58k,72m,110k,11g,16g,460s,4s,3,false,0.6,true,true,0.7999999999999999
1210,45m,27k,410,160ms,2,0.8999999999999999,12m,70k,96m,46k,6g,16g,220s,2s,1,false,0.8999999999999999,false,false,0.6
1211,67m,95k,410,360ms,1,0.6,30m,60k,46m,64k,7g,10g,400s,2s,2,false,0.7,false,false,0.7999999999999999
1212,82m,69k,620,120ms,2,0.9999999999999999,70m,102k,52m,116k,10g,16g,380s,4s,6,false,0.7,true,false,0.7999999999999999
1213,91m,95k,220,680ms,1,0.7999999999999999,46m,35k,118m,58k,8g,15g,460s,5s,2,true,0.5,true,true,0.7
1214,118m,66k,660,760ms,5,0.9999999999999999,8m,48k,70m,36k,7g,9g,360s,10s,4,true,0.7999999999999999,false,true,0.5
1215,60m,124k,990,360ms,5,0.9999999999999999,78m,80k,30m,72k,11g,14g,440s,3s,6,true,0.5,true,false,0.7
1216,90m,99k,460,930ms,1,0.8999999999999999,124m,119k,62m,44k,9g,7g,220s,1s,3,false,0.8999999999999999,true,false,0.6
1217,110m,119k,170,240ms,2,0.8999999999999999,84m,56k,54m,108k,10g,7g,180s,10s,4,false,0.9999999999999999,true,false,0.8999999999999999
1218,50m,46k,470,390ms,4,0.8999999999999999,36m,34k,26m,36k,7g,11g,180s,3s,8,false,0.9999999999999999,true,true,0.6
1219,126m,116k,310,850ms,5,0.7,96m,89k,48m,42k,9g,7g,40s,5s,8,false,0.7,true,true,0.5
1220,25m,31k,140,930ms,5,0.6,10m,77k,122m,38k,7g,11g,120s,2s,6,true,0.5,false,false,0.5
1221,26m,30k,510,720ms,3,0.6,126m,83k,82m,24k,12g,7g,200s,9s,5,false,0.6,false,false,0.9999999999999999
1222,112m,88k,610,940ms,4,0.6,92m,89k,118m,54k,6g,10g,280s,8s,8,false,0.7,false,false,0.5
1223,119m,53k,840,450ms,5,0.8999999999999999,70m,91k,70m,30k,7g,11g,340s,2s,8,false,0.7999999999999999,true,false,0.8999999999999999
1224,91m,100k,440,540ms,5,0.6,66m,101k,52m,54k,12g,7g,460s,1s,5,false,0.9999999999999999,true,true,0.7999999999999999
1225,58m,95k,480,860ms,4,0.5,20m,83k,78m,62k,12g,13g,40s,8s,5,false,0.7999999999999999,false,true,0.8999999999999999
1226,75m,128k,750,200ms,5,0.9999999999999999,32m,116k,120m,46k,7g,14g,320s,8s,5,true,0.6,true,true,0.9999999999999999
1227,96m,95k,160,930ms,3,0.8999999999999999,114m,41k,70m,48k,11g,14g,480s,1s,8,false,0.7,true,false,0.5
1228,48m,71k,690,860ms,1,0.5,10m,32k,66m,50k,6g,6g,500s,1s,8,true,0.6,false,false,0.7999999999999999
1229,36m,104k,840,970ms,2,0.7999999999999999,14m,34k,60m,32k,7g,15g,220s,7s,4,false,0.7999999999999999,false,false,0.7
1230,80m,41k,400,650ms,2,0.8999999999999999,72m,55k,26m,46k,7g,9g,280s,1s,5,false,0.6,true,false,0.9999999999999999
1231,59m,87k,930,730ms,1,0.7999999999999999,88m,57k,112m,58k,10g,16g,200s,2s,5,true,0.7999999999999999,true,false,0.5
1232,43m,38k,890,980ms,1,0.7,124m,33k,106m,92k,10g,8g,300s,7s,1,true,0.9999999999999999,false,true,0.8999999999999999
1233,58m,98k,320,980ms,1,0.8999999999999999,30m,52k,112m,66k,8g,14g,440s,9s,5,false,0.5,false,false,0.7999999999999999
1234,100m,74k,680,880ms,5,0.7999999999999999,100m,73k,102m,88k,11g,12g,160s,2s,3,true,0.9999999999999999,false,false,0.7999999999999999
1235,93m,62k,150,550ms,4,0.6,18m,69k,34m,56k,6g,9g,100s,9s,7,true,0.6,false,true,0.7
1236,82m,27k,610,250ms,1,0.9999999999999999,8m,60k,40m,32k,10g,6g,420s,7s,3,false,0.8999999999999999,true,true,0.9999999999999999
1237,102m,83k,330,980ms,1,0.5,108m,90k,122m,106k,9g,9g,300s,2s,3,true,0.7999999999999999,true,true,0.7999999999999999
1238,104m,34k,380,480ms,1,0.6,40m,32k,64m,72k,11g,13g,340s,1s,4,true,0.7999999999999999,false,false,0.7
1239,34m,117k,910,440ms,2,0.5,118m,70k,36m,94k,9g,8g,200s,2s,2,true,0.6,false,false,0.7
1240,116m,87k,140,530ms,5,0.8999999999999999,22m,29k,28m,68k,7g,10g,40s,1s,5,true,0.9999999999999999,true,true,0.7
